5.81,-6.6673,-7.9781,10.581,10.911,11.127,11.285,11.408,11.508,11.592,11.663,11.725,11.781,11.83,11.875,11.916,11.955,11.991,12.024,12.057,12.088,12.117,12.146,12.174,12.201,12.229,12.256,12.283,12.31,12.337,12.365,12.394,12.423,12.454,12.485,12.519,12.554,12.592,12.633,12.677,12.725,12.779,12.84,12.909,12.989,13.085,13.202,13.351,13.552,13.849,14.398,-18.061,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5.8762,-6.7284,-7.9784,10.788,11.087,11.283,11.427,11.539,11.629,11.705,11.769,11.825,11.875,11.919,11.959,11.996,12.031,12.063,12.093,12.121,12.148,12.174,12.2,12.225,12.249,12.273,12.296,12.32,12.344,12.368,12.392,12.417,12.443,12.469,12.496,12.525,12.556,12.588,12.623,12.66,12.701,12.746,12.797,12.855,12.921,12.999,13.093,13.209,13.361,13.572,13.901,14.642,-17.691,-18.592,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5.9424,-6.7877,-7.9683,11.065,11.316,11.483,11.606,11.701,11.777,11.841,11.895,11.942,11.984,12.021,12.055,12.085,12.114,12.14,12.165,12.188,12.211,12.232,12.253,12.273,12.293,12.312,12.332,12.351,12.37,12.389,12.409,12.429,12.449,12.47,12.492,12.515,12.539,12.564,12.591,12.62,12.652,12.687,12.725,12.769,12.819,12.876,12.944,13.027,13.131,13.267,13.459,13.765,14.484,-17.519,-18.459,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6.0064,-6.8431,-7.9517,11.421,11.608,11.734,11.826,11.898,11.956,12.003,12.044,12.079,12.109,12.137,12.162,12.184,12.205,12.224,12.242,12.259,12.275,12.291,12.306,12.32,12.334,12.348,12.362,12.376,12.389,12.403,12.416,12.43,12.444,12.459,12.474,12.49,12.506,12.524,12.542,12.562,12.583,12.607,12.632,12.661,12.693,12.729,12.773,12.823,12.885,12.963,13.065,13.209,13.432,13.881,-17.565,-18.479,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6.0657,-6.8921,-7.9298,-9.3623,11.7,11.872,11.975,12.046,12.097,12.137,12.17,12.196,12.218,12.238,12.254,12.269,12.283,12.295,12.306,12.317,12.326,12.335,12.344,12.352,12.36,12.368,12.375,12.382,12.389,12.397,12.403,12.41,12.418,12.425,12.432,12.439,12.447,12.455,12.463,12.472,12.481,12.491,12.501,12.513,12.525,12.539,12.554,12.571,12.591,12.613,12.641,12.674,12.715,12.769,12.843,12.952,13.141,13.63,-16.707,-17.783,-18.635,0,0,0,0,0,0,0,0,0,0,0
6.1191,-6.9338,-7.9049,-9.0455,-10.336,-11.644,-12.262,-12.349,-12.374,-12.385,-12.392,-12.397,-12.4,-12.402,-12.404,-12.405,-12.406,-12.407,-12.408,-12.409,-12.41,-12.41,-12.411,-12.411,-12.412,-12.412,-12.413,-12.413,-12.413,-12.414,-12.414,-12.414,-12.415,-12.415,-12.415,-12.416,-12.416,-12.416,-12.417,-12.417,-12.417,-12.417,-12.418,-12.418,-12.419,-12.419,-12.419,-12.42,-12.42,-12.421,-12.421,-12.422,-12.423,-12.424,-12.424,-12.425,-12.427,-12.428,-12.43,-12.433,-12.436,-12.441,-12.448,-12.462,-12.494,-12.631,-13.495,-14.829,-16.087,-17.185,-18.115,0
6.1657,-6.9676,-7.8773,-8.8496,-9.7823,-10.546,-11.081,-11.426,-11.648,-11.798,-11.903,-11.982,-12.042,-12.089,-12.128,-12.16,-12.188,-12.211,-12.232,-12.25,-12.267,-12.282,-12.296,-12.308,-12.32,-12.331,-12.341,-12.351,-12.361,-12.37,-12.379,-12.388,-12.396,-12.405,-12.413,-12.421,-12.43,-12.438,-12.446,-12.455,-12.464,-12.473,-12.483,-12.492,-12.503,-12.514,-12.525,-12.538,-12.551,-12.566,-12.582,-12.6,-12.62,-12.643,-12.67,-12.701,-12.738,-12.784,-12.841,-12.915,-13.014,-13.152,-13.356,-13.671,-14.161,-14.88,-15.788,-16.762,-17.69,-18.515,0,0
6.205,-6.9936,-7.8475,-8.7036,-9.4786,-10.111,-10.589,-10.939,-11.196,-11.388,-11.535,-11.65,-11.744,-11.82,-11.885,-11.94,-11.987,-12.029,-12.067,-12.1,-12.131,-12.158,-12.184,-12.208,-12.231,-12.252,-12.272,-12.292,-12.31,-12.328,-12.346,-12.363,-12.38,-12.397,-12.414,-12.431,-12.448,-12.465,-12.482,-12.5,-12.519,-12.537,-12.557,-12.578,-12.6,-12.623,-12.648,-12.675,-12.704,-12.736,-12.771,-12.81,-12.854,-12.905,-12.964,-13.034,-13.118,-13.221,-13.35,-13.516,-13.736,-14.033,-14.439,-14.988,-15.692,-16.516,-17.381,-18.21,0,0,0,0
6.2372,-7.0122,-7.8161,-8.5861,-9.2642,-9.8205,-10.259,-10.599,-10.864,-11.073,-11.241,-11.378,-11.492,-11.589,-11.671,-11.744,-11.807,-11.864,-11.915,-11.962,-12.004,-12.044,-12.081,-12.115,-12.148,-12.179,-12.209,-12.237,-12.265,-12.292,-12.319,-12.345,-12.371,-12.396,-12.422,-12.448,-12.474,-12.501,-12.528,-12.556,-12.585,-12.615,-12.646,-12.679,-12.714,-12.752,-12.792,-12.836,-12.883,-12.936,-12.994,-13.06,-13.134,-13.221,-13.321,-13.441,-13.585,-13.762,-13.984,-14.266,-14.63,-15.097,-15.685,-16.391,-17.176,-17.978,0,0,0,0,0,0
6.2631,-7.0242,-7.7842,-8.4881,-9.0981,-9.6031,-10.011,-10.339,-10.604,-10.82,-11,-11.15,-11.278,-11.389,-11.486,-11.571,-11.648,-11.717,-11.78,-11.838,-11.891,-11.941,-11.988,-12.033,-12.075,-12.115,-12.154,-12.192,-12.228,-12.265,-12.3,-12.335,-12.37,-12.405,-12.44,-12.476,-12.512,-12.548,-12.586,-12.626,-12.666,-12.709,-12.753,-12.8,-12.851,-12.905,-12.963,-13.027,-13.097,-13.174,-13.261,-13.36,-13.472,-13.603,-13.757,-13.94,-14.162,-14.434,-14.771,-15.19,-15.708,-16.331,-17.045,-17.808,0,0,0,0,0,0,0,0
