1,113.67
8,112.78
15,111.56
22,110.03
29,108.21
36,106.13
43,103.81
50,101.29
57,98.613
64,95.812
71,92.927
78,90
85,87.073
92,84.188
99,81.386
106,78.708
113,76.192
120,73.875
127,71.79
134,69.969
141,68.437
148,67.217
155,66.329
162,65.786
169,65.595
176,65.761
183,66.279
190,67.143
197,68.339
204,69.849
211,71.651
218,73.718
225,76.02
232,78.523
239,81.191
246,83.985
253,86.865
260,89.79
267,92.719
274,95.608
281,98.417
288,101.11
295,103.63
302,105.97
309,108.07
316,109.91
323,111.46
330,112.71
337,113.62
344,114.19
351,114.4
358,114.26
